"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","232","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidBannerUrl","Edit profile. Invalid banner url",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","151","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidTwitter","Edit profile. Invalid twitter",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","123","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidTelegram","Edit profile. Invalid telegram",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","106","API Full","API","api.social.FollowUnfollowCollection","api.social.FollowUnfollowCollection","followNotExistingCollectionId","Follow collection. Collection id not found",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","161","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidInstagram","Edit profile. Invalid instagram",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","127","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInstagramLength","Edit profile. Invalid instagram length",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","95","API Full","API","api.social.GetCollectionsTests","api.social.GetCollectionsTests","getCollectionsInvalidTokenAddress","Get collections. Invalid token address",""
"broken","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","302","API Full","API","api.nft.GetNftDetailsTests","api.nft.GetNftDetailsTests","nftDetailsInvalidTokenId","NFT details. Invalid token id",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","138","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidYoutube","Edit profile. Invalid youtube",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","126","API Full","API","api.social.FollowUnfollowUserTests","api.social.FollowUnfollowUserTests","followUnauthorized","Follow user. Unauthorized",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","88","API Full","API","api.social.FollowUnfollowUserTests","api.social.FollowUnfollowUserTests","followUserInvalidId","Follow user. Invalid user id",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","160","API Full","API","api.nft.GetNftActiveOffers","api.nft.GetNftActiveOffers","getNftActiveOffersInvalidNftId","Get NFT active offers. NFT id invalid",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","212","API Full","API","api.nft.search.SearchNftInCollectionTests","api.nft.search.SearchNftInCollectionTests","searchInCollectionNoOffers","Search nfts in random collection no offers",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","101","API Full","API","api.nft.PinUnpinNftTests","api.nft.PinUnpinNftTests","pinUnauthorized","Pin. Unauthorized",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","113","API Full","API","api.nft.LikeUnlikeNftTests","api.nft.LikeUnlikeNftTests","unlikeInvalidNftId","Unlike NFT. Invalid nft id",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","321","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileMedium","Edit profile medium",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","141","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidLinkedin","Edit profile. Invalid linkedin",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","117","API Full","API","api.social.FollowUnfollowUserTests","api.social.FollowUnfollowUserTests","unfollowInvalidId","Unfollow user. Invalid user id",""
"failed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","141","API Full","API","api.social.profile.EditProfileTests","api.social.profile.EditProfileTests","editProfileBannerUrl","Edit profile banner url",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","130","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidYoutube","Edit profile. Invalid youtube",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","213","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidMedium","Edit profile. Invalid medium",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","110","API Full","API","api.nft.search.SearchNftNegativeTests","api.nft.search.SearchNftNegativeTests","searchWithoutSort","searchWithoutSort",""
